355),69.9,4.4,30,MIN-11,"Allen, Jared"
356),68.6,4.3,23,NYG-11,"Pierre-Paul, Jason"
357),53.3,3.3,26,ARI-10,"Campbell, Calais"
358),51.1,3.2,28,TEN-11,"Wimbley, Kamerion"
359),49.7,3.1,23,CLE-10,"Sheard, Jabaal"
360),47.7,3,28,JAC-6,"Mincey, Jeremy"
361),46.7,2.9,26,CLE-10,"Rubin, Ahtyba"
362),46,2.9,26,DET-5,"Avril, Cliff"
363),45.8,2.9,32,PHI-7,"Babin, Jason"
364),44.7,2.8,32,SF -9,"Smith, Justin"
365),43.3,2.7,30,SEA-11,"Clemons(SEA), Chris"
366),43.1,2.7,28,BAL-8,"Ngata, Haloti"
367),42.1,2.6,23,HOU-8,"Watt, J.J."
368),40.8,2.5,32,CHI-6,"Peppers, Julius"
369),40,2.9,29,PHI-7,"Cole, Trent"
370),39.9,2.5,31,CHI-6,"Idonije, Israel"
371),39.1,2.4,30,NE -9,"Wilfork, Vince"
372),37.5,2.3,24,CIN-8,"Atkins, Geno"
373),37.4,2.5,26,CAR-6,"Johnson, Charles"
374),37.3,2.3,27,CIN-8,"Peko, Domata"
375),36.8,2.5,34,ATL-7,"Abraham, John"
376),36.5,2.3,33,NYJ-9,"Pouha, Sione"
377),36.3,2.3,29,MIN-11,"Robison, Brian"
378),36.2,2.3,27,STL-9,"Long, Chris"
379),34.8,2.2,22,TEN-11,"Casey, Jurrell"
380),34.7,2.2,31,ARI-10,"Dockett, Darnell"
381),34.7,2.2,30,MIA-7,"Wake, Cameron"
382),34.6,2.2,33,DET-5,"VandenBosch, Kyle"
383),34.6,2.2,24,TB -5,"Clayborn, Adrian"
384),34.2,2.1,22,NYJ-9,"Wilkerson, Muhammad"
385),33.8,2.1,25,RAI-5,"Houston, Lamarr"
386),33.7,2.1,24,CAR-6,"Hardy, Greg"
387),33.5,2.1,31,RAI-5,"Kelly, Tommy"
388),33.2,2.4,28,DEN-7,"Dumervil, Elvis"
389),33,2.4,26,TB -5,"Bennett(TB), Michael"
390),32.8,2.1,27,SEA-11,"Mebane, Brandon"
391),32.5,2,32,SD -7,"Garay, Antonio"
392),32.3,2.3,33,PIT-4,"Keisel, Brett"
393),32,2,31,PHI-7,"Jenkins, Cullen"
394),31,1.9,25,CIN-8,"Johnson(Cin), Michael"
395),30.7,2,28,SF -9,"McDonald, Ray"
396),30.6,1.9,26,KC -7,"Jackson, Tyson"
397),30.3,1.9,22,BUF-8,"Dareus, Marcell"
398),30.1,1.9,28,CLE-10,"Rucker, Frostee"
399),29.9,1.9,28,MIA-7,"Starks, Randy"
400),29.9,1.9,29,NYG-11,"Canty, Chris"
401),29.9,2,31,IND-4,"Redding, Cory"
402),28.9,1.9,27,KC -7,"Dorsey, Glenn"
403),28.6,1.8,29,BUF-8,"Anderson, Mark"
404),28.6,2,31,NO -6,"Smith, Will(suspended/4/games)"
405),28.1,2.3,32,BUF-8,"Kelsay, Chris"
406),27.9,2,32,MIN-11,"Williams, Kevin"
407),27.7,1.7,23,NYG-11,"Joseph, Linval"
408),26.3,1.6,28,WAS-10,"Bowen, Stephen"
409),26.2,2.2,29,NYG-11,"Tuck, Justin"
410),26.1,1.6,31,DAL-5,"Ratliff, Jay"
411),25.8,1.7,29,PHI-7,"Patterson, Mike"
412),25.5,1.6,27,ATL-7,"Edwards, Ray"
413),25,1.6,26,DEN-7,"Ayers, Robert"
414),24.8,2.8,30,NYG-11,"Umenyiora, Osi"
415),24.7,1.5,24,MIA-7,"Odrick, Jared"
416),24.6,1.5,28,NO -6,"Bunkley, Brodrick"
417),24.3,1.5,25,JAC-6,"Alualu, Tyson"
418),24.2,1.5,26,SD -7,"Martin, Vaughn"
419),23.9,1.7,25,DET-5,"Suh, Ndamukong"
420),23.7,1.5,30,HOU-8,"Smith, Antonio"
421),23.6,1.8,30,DAL-5,"Hatcher, Jason"
